model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
182 N Skylane,Piston,210,202,196,57,93,1250,1490,1500,4300,2785,349,456,920,3100000
100 Darter (S.L. Industries),Piston,210,172,169,61,90,940,1675,1650,4630,2925,357,458,1139,1630000
"182 E,F,G,H",Piston,210,173,165,61,93,1100,1675,1650,4630,2695,357,458,920,1800000
100 Darter (S.L. Industries),Piston,210,173,166,60,93,1180,1565,1650,4440,2660,357,458,922,1930000
182,Piston,210,173,166,60,93,1200,1545,1650,4400,2655,357,456,920,1950000
100 Darter (S.L. Industries),Piston,210,173,166,58,93,1200,1545,1520,4400,2650,357,456,922,1950000
"180J,K amphib prior'76=4 gal more fuel (range w/80 gal fuel)",Piston,210,174,167,57,93,1250,1490,1500,4300,2615,357,456,922,2000000
100 Darter (S.L. Industries),Piston,210,174,167,55,93,1200,1435,1465,4200,2615,357,456,922,2050000
"180J,K (ski) (prior'79=15,600 serv. ceil, less fuel)",Piston,210,159,150,52,93,1300,1145,1395,3900,2320,355,456,880,1900000
100 Darter (S.L. Industries),Propjet,675,182,154,61,335,1234,2053,1655,8000,3973,450,625,866,2500000
180,Propjet,675,186,154,61,335,975,2420,1880,8750,4765,499,625,810,2370000
100 Darter (S.L. Industries),Piston,310,235,235,60,388,1400,1706,1525,3600,2350,302,438,1270,2500000
177 RG Cardinal,Piston,325,224,212,55,85,1150,2110,1600,4100,2471,340,466,715,2500000
100 Darter (S.L. Industries),Piston,310,201,191,58,90,945,2160,1500,4000,2481,338,441,661,2300000
177 B (thru'74)'70-'71 lgt=27/0 & hgt=9/1,Piston,325,224,207,55,87,1150,2110,1600,4100,2320,340,466,715,2900000
100 Darter (S.L. Industries),Piston,310,204,192,58,90,930,2160,1500,4000,2303,338,441,715,2700000
177 Cardinal,Piston,310,204,197,57,90,1030,1900,1500,3800,2306,338,441,732,2850000
100 Darter (S.L. Industries),Piston,285,205,187,57,90,930,2030,1500,3800,2180,339,441,732,2850000
"175,-A,-B",Piston,285,203,194,55,89,1115,1365,1355,3400,2050,339,441,739,3020000
